efa,9713826,9276,228,434
efb,9553320,9866,45,88
efc,9985316,9918,108,324
efd,9898921,8549,219,336
efe,8772547,10076,179,318
eff,9079227,9587,291,493
efg,9946323,10253,185,348
ega,9759257,8568,342,660
egb,9663977,10940,135,238
egc,9965188,9123,164,262
egd,9694358,8990,164,347
ege,9950520,7850,109,150
egf,9940511,9892,5,10
egg,9934528,8683,84,164
faa,9825644,7903,231,368
fab,9655864,9866,45,146
fac,9855901,8953,103,146
fad,9710140,9227,147,247
fae,9747209,8016,53,104
faf,9533164,9561,77,215
fag,9852822,9136,32,88
fba,9861858,8749,61,202
fbb,9897131,8892,9,29
fbc,9951610,8988,35,91
fbd,9898780,9291,374,699
fbe,9998269,8933,20,40
fbf,9912228,9031,86,201
fbg,9822526,10146,33,130
fca,9916737,9197,322,672
fcb,9939912,8813,33,89
fcc,9970639,8590,81,218
fcd,9925469,7222,240,465
fce,9869001,8758,5,9
fcf,9922388,8045,269,723
fcg,9985221,9462,86,141
fda,9853322,8566,57,103
fdb,9966637,9192,73,128
fdc,9947857,8126,29,65
fdd,9875391,9597,12,33
fde,9600541,9667,36,98
fdf,9937518,8468,83,220
fdg,9651672,8291,116,178
fea,9976957,8740,68,147
feb,9757072,8622,255,383
fec,9908252,10090,5,6
fed,9922881,9601,179,462
fee,9835111,9927,38,113
fef,9994254,9499,51,122
feg,9991867,8298,52,80
ffa,9956160,9471,766,1137
ffb,9940482,8000,25,64
ffc,9931083,8902,75,111
ffd,9951350,9152,83,210
ffe,9710051,8332,81,166
fff,9884695,8555,43,120
ffg,9773772,9734,123,267
fga,9987651,8627,94,190
fgb,9623351,9728,21,91
fgc,9806606,9869,16,40
fgd,9808887,8691,87,138
fge,9773030,7354,67,160
fgf,9643679,10591,104,199
fgg,9855203,8071,135,217
gaa,9964386,8863,216,428
gab,9899969,10466,30,91
gac,9738692,8403,284,563
gad,9924992,10801,5,11
gae,9865113,7232,120,267
gaf,9889091,10305,205,334
gag,9887193,9576,39,111
gba,9831966,7869,94,266
gbb,9612034,9089,232,357
gbc,9966703,7956,303,550
gbd,9947189,9268,69,240
gbe,9630093,8649,123,256
gbf,9535737,8255,18,52
gbg,9877123,9458,35,76
gca,9912993,8779,172,245
gcb,9563051,9077,51,156
gcc,9663405,9212,146,263
gcd,9797914,8954,25,80
gce,9987587,9642,97,178
gcf,9703486,10726,217,426
gcg,9884329,9965,149,220
gda,9997764,9691,99,212
gdb,9251694,8530,10,32
gdc,9597346,8755,59,115
gdd,9798819,7687,7,23
gde,9859056,8824,69,180
gdf,9869827,7849,5,10
gdg,9951175,9118,714,1339
gea,9998565,9019,111,257
geb,9713570,9767,171,265
gec,9962802,8770,6,19
ged,9866580,8347,287,491
gee,9455659,9036,149,253
gef,9931663,7569,88,144
geg,9928154,8943,199,371
gfa,9898748,8809,153,289
gfb,9903221,9088,86,178
gfc,9898668,9158,123,273
gfd,9992118,7409,10,34
gfe,9754850,9341,205,295
gff,9769307,9349,290,436
gfg,9599755,10582,33,59
gga,9983595,9299,101,162
ggb,9993048,9339,146,239
ggc,9773377,9006,112,272
ggd,9974087,8007,53,77
gge,9972231,8755,105,309
ggf,9793036,7993,248,355
ggg,9999590,7877,249,364
